,From LCSC,,,,,,,
Order Qty.,LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,RoHS,Unit Price,Total Price
3,C383211,LESD5D5.0CT1G,LRC,SOD-523,Zener Diode 5.6V 18.6V 5V Bi-Directional SOD-523  ESD Protection Devices ROHS,YES,0.0152,0.0456
1,C82544,1N5819HW-7-F,Diodes Incorporated,SOD-123,Diode 40V 450mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS,YES,0.0208,0.0208
,,,,,,,,
,From DigiKey,,,,,,,
,Digi-Key Part #,Manufacturer Part Number,Description,Backorder,Unit Price,Total Price,,
4,1276-6454-1-ND,CL21A106KAYNNNG,10uF/25V Capacitor CAP CER 10UF 25V X5R 0805,0,$0.07 ,$0.28 ,,
1,1276-1784-1-ND,CL10A475KO8NNNC,CAP CER 4.7UF 16V X5R 0603,0,$0.12 ,$0.12 ,,
6,1276-1034-1-ND,CL10A105KO8NNNC,1uF/16V Capacitor CAP CER 1UF 16V X5R 0603,0,$0.01 ,$0.06 ,,
1,445-7408-1-ND,C1608X7R1H224K080AB,CAP CER 0.22UF (220nF) 50V X7R 0603,0,$0.17 ,$0.17 ,,
10,1276-CL10B104KB8NNNLTR-ND ,CL10B104KB8NNNL,CAP CER 0.1UF 50V X7R 0603,0,$0.10 ,$1.00 ,,
1,"	
490-GRM188R61E225KA12JTR-ND","	
GRM188R61E225KA12J","	
CAP CER 2.2UF 25V X5R 0603",0,$0.11 ,$0.11 ,,
2,478-KGM15AR71H103KTTR-ND,KGM15AR71H103KT,CAP CER 10000PF (10nF) 50V X7R 0603,0,$0.10 ,$0.20 ,,
2,"	
311-1.00KHRTR-ND","	
RC0603FR-071KL","	
RES 1K OHM 1% 1/10W 0603",0,$0.10 ,$0.20 ,,
1,P2.0KDBCT-ND,ERA-3AEB202V,RES SMD 2K OHM 0.1% 1/10W 0603,0,$0.13 ,$0.13 ,,
2,"	
311-4.70KHRTR-ND","	
RC0603FR-074K7L","	
RES 4.7K OHM 1% 1/10W 0603",0,$0.10 ,$0.20 ,,
1,"	
13-RT0603BRE075KLTR-ND","	
RT0603BRE075KL","	
RES 5K OHM 0.1% 1/10W 0603",0,$0.17 ,$0.17 ,,
2,"	
P5.1KDATR-ND",ERA-6AEB512V,"	
RES SMD 5.1K OHM 0.1% 1/8W 0805",0,$0.13 ,$0.26 ,,
8,RNCP0603FTD10K0CT-ND,RNCP0603FTD10K0,10kohm Resistor RES 10K OHM 1% 1/8W 0603,0,$0.10 ,$0.80 ,,
1,490-18139-1-ND,NCU18XH103F6SRB,THERMISTOR NTC 10KOHM 3380K 0603,0,$0.16 ,$0.16 ,,
2,CKN10504TR-ND,PTS810 SJG 250 SMTR LFS,SWITCH TACTILE SPST-NO 0.05A 16V,0,$0.55 ,$1.10 ,,
5,CKN9120-ND,PTS645VH58-2 LFS,SWITCH TACTILE SPST-NO 0.05A 12V,0,$0.37 ,$1.85 ,,
1,160-1436-2-ND,LTST-C190KRKT,LED RED CLEAR CHIP SMD,0,$0.24 ,$0.24 ,,
*OPTIONAL* 1,497-16527-1-ND,LSM303AGRTR,IMU ACCEL/MAG I2C/SPI 12LGA,0,$6.97 ,,,
1,"	
296-38875-2-ND","	
BQ24090DGQR","	
IC BATT CHG LI-ION 1CELL 10MSOP",0,$1.26 ,$1.26 ,,
1,828-1077-1-ND,BME680,SENSOR GAS/HUM/PRES/TEMP I2C OUT,,$10.76 ,$10.76 ,,
1,175-DS3231MZ+TRLCT-ND,DS3231MZ+TRL,IC RTC CLK/CALENDAR I2C 8SOIC,0,$9.45 ,$9.45 ,,
1,1428-ICM-42670-PCT-ND,ICM-42670-P,IMU ACCEL/GYRO/TEMP I2C/SPI,0,$3.43 ,$3.43 ,,
1,MCP3427-E/UN-ND,MCP3427-E/UN,IC ADC 16BIT SIGMA-DELTA 10MSOP,0,$3.68 ,$3.68 ,,
1,497-17764-1-ND,VL53L1CXV0FY/1,SENSOR OPTICAL 4M I2C,0,$6.82 ,$6.82 ,,
1,296-13810-2-ND,TPS79533DCQR,"	
IC REG LIN 3.3V 500MA SOT223-6",0,$2.61 ,$2.61 ,,
1,664-12402012E212ACT-ND,12402012E212A,CONN RCP USB2.0 TYP C 24P SMD RA,0,$0.79 ,$0.79 ,,
1,1727-1142-1-ND,"BSS138P,215",MOSFET N-CH 60V 360MA TO236AB,0,$0.25 ,$0.25 ,,
1,0151680125-ND,151680125,"CABLE FFC 8POS 1.25MM 2""",0,$1.66 ,$1.66 ,,
1,1965-ESP32-S3-MINI-1-N8CT-ND,ESP32-S3-MINI-1-N8,RF TXRX MODULE BT PCB TRACE SMD,0,$3.10 ,$3.10 ,,
,,,,,,$50.93 ,,
,,,,,,,,
,"ALL OTHER COMPONENTS WERE PURCHASED VIA AMAZON. Remember, it's better to buy too many than too few. I DO NOT RECOMMEND BUYING THE MINIMUM AMOUNT!",,,,,,,
,(Amazon purchase links are in the project BOM www.roboticworx.io),,,,,,,
